Premise Name,Premise No,Type,TPIN,Physical Address,Street,PSU No,Category,District,Region
ELIEZA PHARMA (U) LTD,NDA/PRE/RTP/6132,Retail Pharmacy,1015204016,"CHARLE'S BUILDING, BUZIGA - CAPE ROAD",CAPE ROAD,1306,Human,Kampala,Kampala Extra - Akamwesi
Gia-net Limited,NDA/PRE/RTP/6133,Retail Pharmacy,\N,"MAIN STREET-KASALAWO T/C, NAKIFUMA-MUKONO","MAIN STREET, KASALAWO-NAKIFUMA",957,Human,Mukono,South Eastern Region - Jinja
PARK VET PHARMACEUTICALS LIMITED,NDA/PRE/RTP/6141,Retail Pharmacy,\N,INSDIE NEW TAXI,PARK,1665,Veretinary,Mbarara,South Western Region - Mbarara
DOPI PHARMACY LTD,NDA/PRE/RTP/6149,Retail Pharmacy,\N,Busiika town council,Zirobwe road,1809,Human,Luweero,Kampala Extra - Akamwesi
KREDITH ENTERPRISES LIMITED,NDA/PRE/RTP/6151,Retail Pharmacy,\N,"BUSAANA TRADING CENTRE,",NTEJERU NORTH,1698,Human,Kayunga,South Eastern Region - Jinja
ARBIC PHARMACY LTD,NDA/PRE/RTP/6155,Retail Pharmacy,\N,Next to Jafra Petro Station,"Jinja South West Division,Kamuli road",1616,Human,Jinja,South Eastern Region - Jinja
GALILEE MEDICAL GROUP LIMITED,NDA/PRE/RTP/6156,Retail Pharmacy,1016663738,"AGORO ROAD , OPPOSITE LIRA REFERRAL HOSPITAL","AGORO ROAD , OPPOSITE LIRA REFERRAL HOSPITAL",1587,Human,Lira,Northern Region - Lira
FREPOL PHARMACY CO. LTD,NDA/PRE/RTP/6161,Retail Pharmacy,\N,"PLOT 69 BUREMBA ROAD, MBARARA CITY",KAKOBA ROUND ABOUT,1423,Human,Mbarara,South Western Region - Mbarara
KRISTO GROUP UGANDA LIMITED,NDA/PRE/RTP/6165,Retail Pharmacy,\N,"BIYAYA, KAROKO - ADJUMANI T.C",MOYO-GULU RD,1189,Human,Adjumani,West Nile Region - Arua
EBRA PHARMACY LTD,NDA/PRE/RTP/6186,Retail Pharmacy,\N,"ST. MICHEAL BUILDING, KIBULI - DIPO ZONE",TUBUGA RD,1885,Human,Kampala,Kampala Extra - Akamwesi
MABIRIZI PHARMACY LIMITED,NDA/PRE/RTP/6189,Retail Pharmacy,1017777150,NEXT TO FLOMA FARMERS SHOP,BUYALA TRADING CENTER- MITYANA ROAD,1579,Human,Mpigi,Central Regional Office - Masaka
KISEKA PHARMACY,NDA/PRE/RTP/6221,Retail Pharmacy,\N,Kiseka Market,Mpabana Road,1736,Human,Kampala,Kampala Extra - Akamwesi
LACTAM MEDICAL SERVICES,NDA/PRE/RTP/6237,Retail Pharmacy,1017854339,"KIREKA, OPP MARIA MEDICAL CENTER - KAMULI ROAD",KAMULI ROAD,837,Human,Wakiso,Kampala Extra - Akamwesi
Nitah Pharma (U) Ltd,NDA/PRE/RTP/6245,Retail Pharmacy,\N,BULENGA TRADING CENTRE NEXT TO UMF BUILDING,Mityana Road,1623,Human,Wakiso,Kampala Extra - Akamwesi
ABILITY PHARMACY LTD,NDA/PRE/RTP/6247,Retail Pharmacy,1016393633,"Esau building, Manyangwa T/C - Gayaza/ Kayunga rd",Gayaza/ Kayunga rd,1278,Human,Wakiso,Kampala Extra - Akamwesi
PALACE CARE PHARMACEUTICALS &ENTERPRISES LTD,NDA/PRE/RTP/6255,Retail Pharmacy,\N,"Plot 3, Kabale Municipality",Nyerere Road,1770,Human,Kabale,South Western Region - Mbarara
MEDILAND PHARM LIMITED,NDA/PRE/RTP/6257,Retail Pharmacy,\N,"NSANGI, GOMBOLOLA STATE 1, ALLAH YAGABA BUILDING, NEXT TO TWIN BROTHERS JUNIOR SCHOOL","MASAKA ROAD, KYENGERA TOWN COUNCIL",330,Human,Wakiso,Kampala Extra - Akamwesi
TUKA PHARMACY SMC LIMITED,NDA/PRE/RTP/6260,Retail Pharmacy,\N,KISAASI NEXT TO QUALIWORTH SUPERMARKET,BUKOTO RD,1608,Human,Kampala,Kampala Extra - Akamwesi
CISCO PHARMACY LIMITED,NDA/PRE/RTP/6263,Retail Pharmacy,\N,"JEK HUSET BLD'G, BUNAMWAYA T/C",WANKULUKUKU RD,1234,Human,Wakiso,Kampala Extra - Akamwesi
SAMJOV GENERAL SUPPLIES LTD,NDA/PRE/RTP/6264,Retail Pharmacy,\N,NDEJJE TRADING CENTER,(RUTH SEBOWA BUSINESS CENTRE),1374,Human,Luweero,Kampala Extra - Akamwesi
KEON PHARMACY LIMITED,NDA/PRE/RTP/6276,Retail Pharmacy,\N,BUNGA,GABA ROAD,2014,Human,Kampala,Kampala Extra - Akamwesi
MICRAY LIMITED,NDA/PRE/RTP/6290,Retail Pharmacy,1017819985,MPIGI TRADING CENTER NEXT TO TOTAL PETROL STATION,Kampala- Masaka Road,2199,Human,Mpigi,Central Regional Office - Masaka
BLAIZE PHARMACY LTD,NDA/PRE/RTP/6294,Retail Pharmacy,\N,BWIZIBWERA TOWN,IBANDA ROAD,\N,Human,Mbarara,South Western Region - Mbarara
